epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.02352,1.0832,0.66883,1,1.10039,0.00023324,0.00023324,0.00023324
2,4.19441,0.58164,0.54545,1,1.17188,0.000466575,0.000466575,0.000466575
3,6.29764,0.41352,0.53896,1,1.1707,0.000695197,0.000695197,0.000695197
4,8.32579,0.3162,0.53247,1,1.18027,0.000692794,0.000692794,0.000692794
5,10.414,0.34638,0.54545,1,1.18945,0.000685726,0.000685726,0.000685726
6,12.4421,0.30901,0.53247,1,1.21484,0.000678657,0.000678657,0.000678657
7,14.514,0.31882,0.53247,1,1.18477,0.000671588,0.000671588,0.000671588
8,16.614,0.28282,0.53247,1,1.2127,0.00066452,0.00066452,0.00066452
9,18.664,0.3125,0.53247,1,1.1998,0.000657451,0.000657451,0.000657451
10,20.7177,0.25441,0.52597,1,1.23359,0.000650383,0.000650383,0.000650383
11,22.7875,0.23858,0.53247,1,1.20039,0.000643314,0.000643314,0.000643314
12,24.8415,0.22289,0.53247,1,1.19668,0.000636245,0.000636245,0.000636245
13,26.8866,0.17854,0.52597,1,1.2084,0.000629177,0.000629177,0.000629177
14,28.9237,0.23794,0.52597,1,1.20527,0.000622108,0.000622108,0.000622108
15,30.9417,0.23667,0.52597,1,1.20879,0.00061504,0.00061504,0.00061504
16,33.0014,0.23881,0.52597,1,1.20508,0.000607971,0.000607971,0.000607971
17,35.1416,0.18637,0.51948,1,1.21074,0.000600902,0.000600902,0.000600902
18,37.3091,0.21407,0.51948,1,1.21641,0.000593834,0.000593834,0.000593834
19,39.3977,0.20291,0.51948,1,1.21641,0.000586765,0.000586765,0.000586765
20,41.5152,0.16634,0.52597,1,1.20352,0.000579697,0.000579697,0.000579697
21,43.5809,0.17553,0.51948,1,1.22031,0.000572628,0.000572628,0.000572628
22,45.6462,0.13595,0.51948,1,1.21953,0.000565559,0.000565559,0.000565559
23,47.6958,0.15871,0.51948,1,1.22266,0.000558491,0.000558491,0.000558491
24,49.7783,0.17792,0.51948,1,1.22168,0.000551422,0.000551422,0.000551422
25,51.8444,0.16741,0.51948,1,1.22422,0.000544354,0.000544354,0.000544354
26,53.909,0.19923,0.51948,1,1.2166,0.000537285,0.000537285,0.000537285
27,55.9704,0.11508,0.51948,1,1.22031,0.000530216,0.000530216,0.000530216
28,58.0732,0.15154,0.51948,1,1.22598,0.000523148,0.000523148,0.000523148
29,60.1101,0.19201,0.51948,1,1.21035,0.000516079,0.000516079,0.000516079
30,62.1663,0.15727,0.51948,1,1.22266,0.000509011,0.000509011,0.000509011
31,64.2418,0.12807,0.51948,1,1.2166,0.000501942,0.000501942,0.000501942
32,66.3029,0.11647,0.51948,1,1.22148,0.000494873,0.000494873,0.000494873
33,68.3703,0.11734,0.51948,1,1.21875,0.000487805,0.000487805,0.000487805
34,70.4458,0.10289,0.51948,1,1.21719,0.000480736,0.000480736,0.000480736
35,72.5606,0.10359,0.51948,1,1.22363,0.000473668,0.000473668,0.000473668
36,74.6445,0.11138,0.51948,1,1.21699,0.000466599,0.000466599,0.000466599
37,76.6691,0.10478,0.51948,1,1.22148,0.00045953,0.00045953,0.00045953
38,78.7591,0.11108,0.51948,1,1.22539,0.000452462,0.000452462,0.000452462
39,80.8254,0.11814,0.51948,1,1.22715,0.000445393,0.000445393,0.000445393
40,82.895,0.10443,0.51948,1,1.22949,0.000438325,0.000438325,0.000438325
41,84.9187,0.09936,0.51948,1,1.22656,0.000431256,0.000431256,0.000431256
42,86.9844,0.08534,0.51948,1,1.2207,0.000424187,0.000424187,0.000424187
43,89.0492,0.08831,0.51948,1,1.225,0.000417119,0.000417119,0.000417119
44,91.1569,0.08613,0.51948,1,1.22539,0.00041005,0.00041005,0.00041005
45,93.2273,0.06887,0.51948,1,1.22695,0.000402982,0.000402982,0.000402982
46,95.348,0.09702,0.51948,1,1.22207,0.000395913,0.000395913,0.000395913
47,97.4149,0.08017,0.51948,1,1.21836,0.000388844,0.000388844,0.000388844
48,99.502,0.07917,0.51948,1,1.22852,0.000381776,0.000381776,0.000381776
49,101.572,0.11385,0.51948,1,1.22012,0.000374707,0.000374707,0.000374707
50,103.726,0.11032,0.51948,1,1.22773,0.000367639,0.000367639,0.000367639
51,105.766,0.08114,0.51948,1,1.21816,0.00036057,0.00036057,0.00036057
52,107.774,0.10094,0.51948,1,1.22129,0.000353501,0.000353501,0.000353501
53,109.861,0.18503,0.51948,1,1.22734,0.000346433,0.000346433,0.000346433
54,111.944,0.07597,0.51948,1,1.22793,0.000339364,0.000339364,0.000339364
55,114.008,0.09451,0.51948,1,1.22617,0.000332296,0.000332296,0.000332296
56,116.109,0.12182,0.51948,1,1.22324,0.000325227,0.000325227,0.000325227
57,118.143,0.07238,0.51948,1,1.2209,0.000318158,0.000318158,0.000318158
58,120.192,0.10427,0.51948,1,1.22344,0.00031109,0.00031109,0.00031109
59,122.225,0.07714,0.51948,1,1.22402,0.000304021,0.000304021,0.000304021
60,124.31,0.10008,0.51948,1,1.22676,0.000296953,0.000296953,0.000296953
61,126.41,0.08653,0.51948,1,1.22422,0.000289884,0.000289884,0.000289884
62,128.495,0.08953,0.51948,1,1.22773,0.000282815,0.000282815,0.000282815
63,130.553,0.07242,0.51948,1,1.22363,0.000275747,0.000275747,0.000275747
64,132.597,0.06322,0.51948,1,1.225,0.000268678,0.000268678,0.000268678
65,134.684,0.17622,0.51948,1,1.22461,0.00026161,0.00026161,0.00026161
66,136.772,0.04132,0.51948,1,1.2207,0.000254541,0.000254541,0.000254541
67,138.833,0.07108,0.51948,1,1.22832,0.000247472,0.000247472,0.000247472
68,140.879,0.07447,0.51948,1,1.22363,0.000240404,0.000240404,0.000240404
69,142.939,0.05695,0.51948,1,1.22109,0.000233335,0.000233335,0.000233335
70,145.042,0.11535,0.51948,1,1.22402,0.000226267,0.000226267,0.000226267
71,147.061,0.06565,0.51948,1,1.22539,0.000219198,0.000219198,0.000219198
72,149.099,0.08007,0.51948,1,1.22246,0.000212129,0.000212129,0.000212129
73,151.196,0.06447,0.51948,1,1.22363,0.000205061,0.000205061,0.000205061
74,153.259,0.11097,0.51948,1,1.22344,0.000197992,0.000197992,0.000197992
75,155.324,0.06542,0.51948,1,1.22871,0.000190924,0.000190924,0.000190924
76,157.444,0.08677,0.51948,1,1.22305,0.000183855,0.000183855,0.000183855
77,159.505,0.05848,0.51948,1,1.22852,0.000176786,0.000176786,0.000176786
78,161.562,0.08164,0.51948,1,1.22207,0.000169718,0.000169718,0.000169718
79,163.632,0.06097,0.51948,1,1.2209,0.000162649,0.000162649,0.000162649
80,165.705,0.07191,0.51948,1,1.22324,0.000155581,0.000155581,0.000155581
81,167.818,0.04207,0.51948,1,1.22129,0.000148512,0.000148512,0.000148512
82,169.889,0.06785,0.51948,1,1.22383,0.000141443,0.000141443,0.000141443
83,171.937,0.05407,0.51948,1,1.22051,0.000134375,0.000134375,0.000134375
84,174.016,0.0566,0.51948,1,1.22129,0.000127306,0.000127306,0.000127306
85,176.079,0.06322,0.51948,1,1.22715,0.000120238,0.000120238,0.000120238
86,178.138,0.08322,0.51948,1,1.22207,0.000113169,0.000113169,0.000113169
87,180.192,0.06489,0.51948,1,1.22402,0.0001061,0.0001061,0.0001061
88,182.249,0.05423,0.51948,1,1.22383,9.90318e-05,9.90318e-05,9.90318e-05
89,184.295,0.05431,0.51948,1,1.22246,9.19632e-05,9.19632e-05,9.19632e-05
90,186.387,0.07231,0.51948,1,1.22109,8.48946e-05,8.48946e-05,8.48946e-05
91,188.702,0.02633,0.51948,1,1.22246,7.7826e-05,7.7826e-05,7.7826e-05
92,190.853,0.03624,0.51948,1,1.22227,7.07574e-05,7.07574e-05,7.07574e-05
93,192.898,0.03859,0.51948,1,1.22578,6.36888e-05,6.36888e-05,6.36888e-05
94,194.966,0.04811,0.51948,1,1.21855,5.66202e-05,5.66202e-05,5.66202e-05
95,197.001,0.04269,0.51948,1,1.22734,4.95516e-05,4.95516e-05,4.95516e-05
96,199.116,0.03909,0.51948,1,1.22578,4.2483e-05,4.2483e-05,4.2483e-05
97,201.184,0.03673,0.51948,1,1.22285,3.54144e-05,3.54144e-05,3.54144e-05
98,203.224,0.08879,0.51948,1,1.22441,2.83458e-05,2.83458e-05,2.83458e-05
99,205.305,0.06342,0.51948,1,1.22422,2.12772e-05,2.12772e-05,2.12772e-05
100,207.406,0.03235,0.51948,1,1.22305,1.42086e-05,1.42086e-05,1.42086e-05
