epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5442,0.50704,0.74162,0.5566,0.84775,0.99776,0.99522,0.99497,0.92646,0.99763,0.99508,0.99496,0.84136,0.38858,0.44828,0.32599,0.80194,0.000662281,0.000662281,0.000662281
2,184.144,0.47483,0.54788,0.36325,0.81725,0.9983,0.99573,0.99493,0.93543,0.99819,0.99567,0.9949,0.86662,0.35875,0.4241,0.31342,0.79754,0.00131579,0.00131579,0.00131579
3,275.343,0.47918,0.54154,0.37703,0.81875,0.99774,0.99586,0.99498,0.9058,0.99767,0.9958,0.99494,0.8393,0.42201,0.48213,0.33805,0.80884,0.0019561,0.0019561,0.0019561
4,364.952,0.48475,0.54539,0.36463,0.81432,0.99835,0.99599,0.99499,0.90245,0.99822,0.99586,0.99499,0.8143,0.44835,0.50919,0.32006,0.80562,0.0019406,0.0019406,0.0019406
5,454.354,0.46267,0.52936,0.33889,0.81109,0.99809,0.99599,0.99498,0.94151,0.99789,0.99599,0.99498,0.84047,0.33006,0.43045,0.27245,0.78785,0.0019208,0.0019208,0.0019208
6,543.339,0.43043,0.50324,0.31602,0.80626,0.99849,0.99625,0.99499,0.94908,0.99835,0.99612,0.99498,0.84619,0.3332,0.41874,0.26199,0.79026,0.001901,0.001901,0.001901
7,633.153,0.42999,0.49897,0.3072,0.80312,0.99873,0.99599,0.99498,0.93738,0.99866,0.99593,0.99494,0.84805,0.35097,0.47973,0.2629,0.78969,0.0018812,0.0018812,0.0018812
8,723.537,0.45076,0.50143,0.30728,0.80607,0.99796,0.99619,0.99499,0.91802,0.99809,0.99599,0.99498,0.8447,0.41818,0.43448,0.2733,0.80303,0.0018614,0.0018614,0.0018614
9,811.348,0.41171,0.46026,0.28956,0.80151,0.99865,0.99613,0.99498,0.94597,0.99835,0.99606,0.99496,0.85136,0.33462,0.38315,0.24132,0.78619,0.0018416,0.0018416,0.0018416
10,901.852,0.42314,0.46686,0.28762,0.80173,0.99893,0.99613,0.995,0.9535,0.99879,0.99599,0.99497,0.86736,0.31494,0.39877,0.23409,0.78381,0.0018218,0.0018218,0.0018218
11,993.056,0.4318,0.47876,0.2927,0.80121,0.99914,0.99589,0.995,0.96316,0.99895,0.99567,0.99499,0.85458,0.2885,0.37939,0.23453,0.78124,0.001802,0.001802,0.001802
12,1083.63,0.41585,0.46972,0.28786,0.7989,0.99901,0.99606,0.995,0.93158,0.99895,0.996,0.99495,0.8426,0.36545,0.44778,0.24746,0.7892,0.0017822,0.0017822,0.0017822
13,1172.55,0.41212,0.4614,0.28261,0.79902,0.99934,0.99578,0.99499,0.94759,0.99875,0.99615,0.99497,0.84664,0.34347,0.40837,0.24221,0.78869,0.0017624,0.0017624,0.0017624
14,1262.04,0.39653,0.44548,0.27072,0.79628,0.99909,0.99632,0.99498,0.95232,0.99896,0.99619,0.99497,0.85496,0.3301,0.39144,0.22664,0.78491,0.0017426,0.0017426,0.0017426
15,1351.45,0.38872,0.44203,0.26187,0.79527,0.9992,0.99586,0.995,0.95078,0.99914,0.9958,0.99498,0.85371,0.33228,0.40032,0.21344,0.78506,0.0017228,0.0017228,0.0017228
16,1440.65,0.39555,0.44117,0.26114,0.79562,0.99914,0.99613,0.995,0.94538,0.99907,0.99606,0.99498,0.84898,0.33799,0.42239,0.21935,0.7864,0.001703,0.001703,0.001703
17,1529.45,0.38127,0.44166,0.25282,0.79364,0.99901,0.99611,0.995,0.9578,0.99895,0.99604,0.99498,0.86421,0.29669,0.37622,0.20335,0.78155,0.0016832,0.0016832,0.0016832
18,1619.33,0.3851,0.43641,0.25477,0.79355,0.99912,0.99606,0.995,0.9587,0.99899,0.99593,0.99499,0.87022,0.31405,0.38366,0.21541,0.78268,0.0016634,0.0016634,0.0016634
19,1707.35,0.37468,0.43215,0.24994,0.79468,0.99882,0.99652,0.995,0.96092,0.99875,0.99645,0.99499,0.84551,0.29558,0.40446,0.20409,0.78066,0.0016436,0.0016436,0.0016436
20,1796.95,0.37948,0.43342,0.25735,0.79312,0.99898,0.99645,0.995,0.965,0.9988,0.99632,0.99499,0.85667,0.2925,0.37468,0.20469,0.77988,0.0016238,0.0016238,0.0016238
21,1885.95,0.3717,0.42697,0.25071,0.7928,0.99912,0.99613,0.99499,0.96126,0.99896,0.99599,0.99499,0.85036,0.29965,0.39967,0.20139,0.78026,0.001604,0.001604,0.001604
22,1975.95,0.36454,0.42409,0.24407,0.7917,0.99935,0.99599,0.995,0.96863,0.99881,0.99631,0.99498,0.86263,0.27216,0.37286,0.1882,0.77841,0.0015842,0.0015842,0.0015842
23,2064.75,0.35163,0.41359,0.23485,0.7906,0.99822,0.99633,0.99499,0.965,0.99822,0.99633,0.99499,0.85195,0.28377,0.38981,0.19462,0.77802,0.0015644,0.0015644,0.0015644
24,2153.83,0.35738,0.4244,0.23919,0.7911,0.99861,0.99639,0.995,0.968,0.99854,0.99632,0.99499,0.85774,0.27438,0.37229,0.18721,0.77795,0.0015446,0.0015446,0.0015446
25,2243.45,0.36766,0.4245,0.24657,0.79097,0.99926,0.99599,0.995,0.96936,0.99919,0.99593,0.99498,0.85848,0.27335,0.37434,0.19574,0.77691,0.0015248,0.0015248,0.0015248
26,2333.35,0.35335,0.40521,0.23576,0.79106,0.99932,0.99619,0.995,0.96381,0.99919,0.99606,0.99499,0.86917,0.28326,0.36589,0.18542,0.77915,0.001505,0.001505,0.001505
27,2423.15,0.34286,0.40379,0.22833,0.78941,0.99895,0.99637,0.995,0.97002,0.99881,0.99622,0.995,0.86241,0.26612,0.36658,0.18272,0.77614,0.0014852,0.0014852,0.0014852
28,2512.24,0.34374,0.40821,0.22993,0.78912,0.99875,0.99652,0.995,0.96987,0.99851,0.99652,0.99499,0.8614,0.27795,0.37632,0.18704,0.77669,0.0014654,0.0014654,0.0014654
29,2601.84,0.36057,0.41074,0.23827,0.78987,0.99911,0.99626,0.995,0.97323,0.99901,0.99605,0.99498,0.86131,0.26678,0.36171,0.18276,0.7754,0.0014456,0.0014456,0.0014456
30,2690.45,0.33026,0.38663,0.22376,0.78801,0.99934,0.99609,0.995,0.96875,0.99928,0.99603,0.99499,0.86214,0.27123,0.37607,0.18689,0.7763,0.0014258,0.0014258,0.0014258
31,2780.34,0.33819,0.3971,0.22747,0.78714,0.99882,0.99676,0.995,0.97244,0.99875,0.9967,0.99499,0.86396,0.26224,0.36503,0.17884,0.77523,0.001406,0.001406,0.001406
32,2868.85,0.3221,0.38225,0.21754,0.78659,0.99901,0.9965,0.995,0.97009,0.99895,0.99644,0.995,0.85999,0.27445,0.37145,0.1796,0.77725,0.0013862,0.0013862,0.0013862
33,2958.03,0.34588,0.39418,0.23167,0.78771,0.99925,0.99645,0.995,0.9701,0.99912,0.99632,0.99499,0.86209,0.26703,0.36622,0.18067,0.77576,0.0013664,0.0013664,0.0013664
34,3046.05,0.33634,0.39318,0.22066,0.78846,0.99941,0.9963,0.995,0.96852,0.99934,0.99623,0.995,0.85897,0.2689,0.36039,0.17264,0.77601,0.0013466,0.0013466,0.0013466
35,3134.84,0.33115,0.38301,0.21673,0.78679,0.99917,0.99645,0.995,0.9709,0.99911,0.99639,0.995,0.86186,0.27075,0.36297,0.17458,0.77639,0.0013268,0.0013268,0.0013268
36,3224.03,0.32874,0.37952,0.21683,0.78614,0.99926,0.99639,0.995,0.97154,0.99919,0.99632,0.99499,0.85919,0.25996,0.35885,0.17053,0.77488,0.001307,0.001307,0.001307
37,3313.13,0.33016,0.37515,0.21588,0.78665,0.99921,0.99634,0.995,0.96665,0.99914,0.99627,0.99499,0.86647,0.28242,0.36313,0.18793,0.7766,0.0012872,0.0012872,0.0012872
38,3402.35,0.32189,0.373,0.21476,0.78617,0.99913,0.99652,0.995,0.97461,0.999,0.99639,0.995,0.86187,0.25732,0.35538,0.17209,0.77427,0.0012674,0.0012674,0.0012674
39,3492.73,0.3248,0.37346,0.21298,0.78592,0.99933,0.99626,0.995,0.96904,0.99926,0.99619,0.995,0.86424,0.26815,0.35686,0.1708,0.77518,0.0012476,0.0012476,0.0012476
40,3579.65,0.31921,0.37375,0.21214,0.78598,0.99924,0.99639,0.995,0.97436,0.99918,0.99632,0.995,0.86045,0.25221,0.35069,0.16667,0.77348,0.0012278,0.0012278,0.0012278
41,3669.88,0.31424,0.37118,0.20903,0.78521,0.99947,0.99639,0.995,0.97438,0.9994,0.99632,0.995,0.86633,0.25402,0.35684,0.16744,0.77388,0.001208,0.001208,0.001208
42,3757.45,0.32314,0.38398,0.21506,0.78638,0.99947,0.9963,0.995,0.97191,0.99941,0.99624,0.995,0.86356,0.2627,0.35637,0.17617,0.77438,0.0011882,0.0011882,0.0011882
43,3847.52,0.33216,0.38743,0.21559,0.78625,0.99934,0.9966,0.995,0.97394,0.99928,0.99654,0.995,0.87112,0.25842,0.35157,0.16366,0.77477,0.0011684,0.0011684,0.0011684
44,3935.64,0.31843,0.37553,0.20686,0.78642,0.99923,0.99645,0.995,0.97518,0.99917,0.99639,0.995,0.85894,0.2569,0.35394,0.16795,0.77407,0.0011486,0.0011486,0.0011486
45,4023.75,0.31673,0.37039,0.20856,0.78426,0.99925,0.99659,0.995,0.97439,0.99918,0.99652,0.995,0.85841,0.25805,0.35301,0.16542,0.77328,0.0011288,0.0011288,0.0011288
46,4111.65,0.32094,0.36983,0.20973,0.78524,0.99914,0.99641,0.995,0.97317,0.99908,0.99634,0.995,0.85394,0.25995,0.35236,0.17034,0.77388,0.001109,0.001109,0.001109
47,4200.05,0.31614,0.36759,0.20422,0.78464,0.99889,0.99652,0.995,0.97494,0.99879,0.99665,0.995,0.8723,0.25439,0.36339,0.16116,0.7735,0.0010892,0.0010892,0.0010892
48,4287.95,0.31046,0.36923,0.20095,0.78347,0.99929,0.99632,0.995,0.97483,0.99922,0.99626,0.995,0.86353,0.25229,0.3519,0.15989,0.77291,0.0010694,0.0010694,0.0010694
49,4377.95,0.30645,0.36516,0.20074,0.78341,0.99947,0.99652,0.995,0.97456,0.99934,0.99639,0.995,0.85848,0.25199,0.34963,0.15992,0.77292,0.0010496,0.0010496,0.0010496
50,4467.33,0.30291,0.36125,0.19731,0.78318,0.99959,0.99639,0.995,0.97452,0.99953,0.99632,0.995,0.87155,0.25314,0.34595,0.15929,0.77287,0.0010298,0.0010298,0.0010298
51,4556.42,0.31707,0.36715,0.20578,0.78321,0.99941,0.99652,0.995,0.97573,0.99934,0.99645,0.99499,0.86267,0.24928,0.3533,0.1611,0.77243,0.00101,0.00101,0.00101
52,4645.35,0.30677,0.36378,0.19727,0.78281,0.99952,0.99659,0.995,0.97662,0.99939,0.99645,0.995,0.86231,0.24695,0.3532,0.15575,0.77218,0.0009902,0.0009902,0.0009902
53,4734.07,0.3091,0.36255,0.19638,0.78393,0.99938,0.99659,0.995,0.97162,0.99932,0.99652,0.995,0.87174,0.25778,0.34827,0.15956,0.77336,0.0009704,0.0009704,0.0009704
54,4822.35,0.3069,0.3587,0.19747,0.78254,0.99932,0.99645,0.995,0.975,0.99926,0.99639,0.995,0.86183,0.25104,0.34604,0.15669,0.77237,0.0009506,0.0009506,0.0009506
55,4911.15,0.30695,0.358,0.19805,0.78358,0.99964,0.99632,0.995,0.97581,0.99957,0.99626,0.995,0.86512,0.25037,0.34568,0.15935,0.77235,0.0009308,0.0009308,0.0009308
56,5001.44,0.31095,0.36225,0.19966,0.78383,0.99969,0.99632,0.995,0.97605,0.99962,0.99626,0.995,0.86742,0.24756,0.34683,0.15611,0.77234,0.000911,0.000911,0.000911
57,5090.33,0.30718,0.35462,0.19587,0.78175,0.99965,0.99632,0.995,0.97668,0.99958,0.99626,0.99499,0.86642,0.24752,0.34527,0.15226,0.77223,0.0008912,0.0008912,0.0008912
58,5179.03,0.30321,0.35643,0.19215,0.78373,0.99948,0.99639,0.995,0.97781,0.99941,0.99632,0.995,0.86615,0.24336,0.34443,0.15293,0.77173,0.0008714,0.0008714,0.0008714
59,5266.26,0.301,0.35555,0.19105,0.78332,0.99959,0.99652,0.995,0.97713,0.99952,0.99645,0.995,0.86588,0.24546,0.34405,0.15138,0.772,0.0008516,0.0008516,0.0008516
60,5355.45,0.30087,0.35297,0.18906,0.78366,0.99934,0.99639,0.995,0.97701,0.99928,0.99632,0.99499,0.86443,0.24414,0.34311,0.15111,0.77184,0.0008318,0.0008318,0.0008318
61,5444.15,0.30077,0.35387,0.19084,0.78231,0.99947,0.99655,0.995,0.97639,0.99941,0.99648,0.995,0.86674,0.24618,0.34293,0.15099,0.77203,0.000812,0.000812,0.000812
62,5533.24,0.29934,0.3548,0.18858,0.78191,0.99976,0.99645,0.995,0.97476,0.99969,0.99639,0.99499,0.86881,0.24858,0.34344,0.15176,0.77221,0.0007922,0.0007922,0.0007922
63,5620.83,0.29837,0.35332,0.18911,0.7817,0.99964,0.99665,0.995,0.97711,0.99958,0.99659,0.995,0.86382,0.24338,0.34148,0.15155,0.77143,0.0007724,0.0007724,0.0007724
64,5709.95,0.29869,0.3519,0.19041,0.78235,0.9996,0.99652,0.995,0.97558,0.99953,0.99645,0.995,0.86937,0.2481,0.34881,0.15474,0.77191,0.0007526,0.0007526,0.0007526
65,5799.16,0.2977,0.35106,0.19028,0.78254,0.99966,0.99659,0.995,0.97626,0.99959,0.99652,0.995,0.86742,0.24745,0.3434,0.1538,0.77173,0.0007328,0.0007328,0.0007328
