epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.6524,0.7894,0.86667,1,0.36662,0.000233423,0.000233423,0.000233423
2,27.3167,0.17648,0.91429,1,0.1541,0.000466756,0.000466756,0.000466756
3,41.0747,0.15978,0.89524,1,0.23943,0.000695376,0.000695376,0.000695376
4,54.4482,0.15089,0.86667,1,0.45313,0.000692794,0.000692794,0.000692794
5,67.9738,0.12287,0.92381,1,0.20134,0.000685726,0.000685726,0.000685726
6,81.4656,0.11464,0.94286,1,0.25162,0.000678657,0.000678657,0.000678657
7,94.9759,0.07092,0.93333,1,0.27184,0.000671588,0.000671588,0.000671588
8,108.669,0.07336,0.90476,1,0.25739,0.00066452,0.00066452,0.00066452
9,122.296,0.07034,0.90476,1,0.22622,0.000657451,0.000657451,0.000657451
10,136.301,0.14047,0.94286,1,0.33783,0.000650383,0.000650383,0.000650383
11,150.347,0.04711,0.90476,1,0.25565,0.000643314,0.000643314,0.000643314
12,164.235,0.08368,0.92381,1,0.31118,0.000636245,0.000636245,0.000636245
13,177.955,0.05416,0.90476,1,0.21785,0.000629177,0.000629177,0.000629177
14,191.754,0.0392,0.90476,1,0.49683,0.000622108,0.000622108,0.000622108
15,206.891,0.05311,0.91429,1,0.20335,0.00061504,0.00061504,0.00061504
16,220.807,0.03001,0.91429,1,0.36493,0.000607971,0.000607971,0.000607971
17,234.474,0.03585,0.93333,1,0.22479,0.000600902,0.000600902,0.000600902
18,248.179,0.01327,0.88571,1,0.46523,0.000593834,0.000593834,0.000593834
19,261.613,0.0143,0.95238,1,0.19486,0.000586765,0.000586765,0.000586765
20,275.259,0.00821,0.9619,1,0.21137,0.000579697,0.000579697,0.000579697
21,289.034,0.02439,0.94286,1,0.16418,0.000572628,0.000572628,0.000572628
22,302.826,0.02911,0.92381,1,0.19028,0.000565559,0.000565559,0.000565559
23,316.656,0.02277,0.91429,1,0.2246,0.000558491,0.000558491,0.000558491
24,330.247,0.01689,0.93333,1,0.19339,0.000551422,0.000551422,0.000551422
25,344.184,0.04995,0.90476,1,0.25338,0.000544354,0.000544354,0.000544354
26,357.728,0.04734,0.93333,1,0.2167,0.000537285,0.000537285,0.000537285
27,371.291,0.01953,0.90476,1,0.24446,0.000530216,0.000530216,0.000530216
28,385.138,0.05125,0.87619,1,0.4921,0.000523148,0.000523148,0.000523148
29,398.964,0.02424,0.88571,1,0.36157,0.000516079,0.000516079,0.000516079
30,412.427,0.00959,0.92381,1,0.28596,0.000509011,0.000509011,0.000509011
31,426.282,0.00682,0.95238,1,0.35195,0.000501942,0.000501942,0.000501942
32,440.12,0.01043,0.93333,1,0.23964,0.000494873,0.000494873,0.000494873
33,453.553,0.00344,0.92381,1,0.25598,0.000487805,0.000487805,0.000487805
34,466.95,0.00291,0.92381,1,0.21346,0.000480736,0.000480736,0.000480736
35,480.225,0.00398,0.93333,1,0.19888,0.000473668,0.000473668,0.000473668
36,493.587,0.00368,0.9619,1,0.11861,0.000466599,0.000466599,0.000466599
37,507.036,0.00594,0.93333,1,0.20865,0.00045953,0.00045953,0.00045953
38,520.895,0.01166,0.91429,1,0.2268,0.000452462,0.000452462,0.000452462
39,534.91,0.00593,0.91429,1,0.15283,0.000445393,0.000445393,0.000445393
40,550.227,0.00664,0.93333,1,0.19054,0.000438325,0.000438325,0.000438325
41,564.912,0.00924,0.9619,1,0.15285,0.000431256,0.000431256,0.000431256
42,578.959,0.0067,0.9619,1,0.14373,0.000424187,0.000424187,0.000424187
43,592.3,0.00799,0.95238,1,0.18132,0.000417119,0.000417119,0.000417119
44,605.633,0.00436,0.91429,1,0.27203,0.00041005,0.00041005,0.00041005
45,618.723,0.00612,0.93333,1,0.22099,0.000402982,0.000402982,0.000402982
46,632.284,0.04539,0.92381,1,0.28603,0.000395913,0.000395913,0.000395913
47,645.804,0.0018,0.9619,1,0.21066,0.000388844,0.000388844,0.000388844
48,659.236,0.00172,0.9619,1,0.19862,0.000381776,0.000381776,0.000381776
49,672.865,0.00444,0.9619,1,0.15973,0.000374707,0.000374707,0.000374707
50,686.722,0.00113,0.94286,1,0.26483,0.000367639,0.000367639,0.000367639
51,701.051,0.00226,0.95238,1,0.15631,0.00036057,0.00036057,0.00036057
52,715.577,0.00072,0.95238,1,0.19121,0.000353501,0.000353501,0.000353501
53,729.081,0.00218,0.9619,1,0.37027,0.000346433,0.000346433,0.000346433
54,743.158,0.00091,0.94286,1,0.17786,0.000339364,0.000339364,0.000339364
55,757.586,0.00111,0.95238,1,0.14996,0.000332296,0.000332296,0.000332296
56,772.528,0.00118,0.9619,1,0.32002,0.000325227,0.000325227,0.000325227
57,786.621,0.00058,0.95238,1,0.17273,0.000318158,0.000318158,0.000318158
58,800.94,0.00065,0.9619,1,0.15524,0.00031109,0.00031109,0.00031109
59,814.365,0.00021,0.9619,1,0.23053,0.000304021,0.000304021,0.000304021
60,827.811,0.00041,0.9619,1,0.16391,0.000296953,0.000296953,0.000296953
61,841.338,0.00156,0.95238,1,0.26964,0.000289884,0.000289884,0.000289884
62,854.587,0.00196,0.94286,1,0.27481,0.000282815,0.000282815,0.000282815
63,868.419,0.00037,0.91429,1,0.2852,0.000275747,0.000275747,0.000275747
64,882.064,0.01437,0.92381,1,0.28919,0.000268678,0.000268678,0.000268678
65,895.752,0.00361,0.95238,1,0.22269,0.00026161,0.00026161,0.00026161
66,909.341,0.0039,0.95238,1,0.33443,0.000254541,0.000254541,0.000254541
67,922.923,0.00121,0.9619,1,0.17507,0.000247472,0.000247472,0.000247472
68,937.005,0.00406,0.93333,1,0.21812,0.000240404,0.000240404,0.000240404
69,951.375,0.00147,0.94286,1,0.17449,0.000233335,0.000233335,0.000233335
70,965.883,0.00047,0.95238,1,0.16621,0.000226267,0.000226267,0.000226267
71,979.538,0.00153,0.94286,1,0.15809,0.000219198,0.000219198,0.000219198
72,993.09,0.00145,0.95238,1,0.24523,0.000212129,0.000212129,0.000212129
73,1006.3,0.00074,0.9619,1,0.15161,0.000205061,0.000205061,0.000205061
74,1019.47,0.0004,0.9619,1,0.1692,0.000197992,0.000197992,0.000197992
75,1032.89,0.00045,0.9619,1,0.17618,0.000190924,0.000190924,0.000190924
76,1046.57,0.00114,0.9619,1,0.15806,0.000183855,0.000183855,0.000183855
77,1059.83,0.00034,0.95238,1,0.15892,0.000176786,0.000176786,0.000176786
78,1073.87,0.00033,0.9619,1,0.15532,0.000169718,0.000169718,0.000169718
79,1087.09,0.00059,0.9619,1,0.16616,0.000162649,0.000162649,0.000162649
80,1100.69,0.00303,0.9619,1,0.3135,0.000155581,0.000155581,0.000155581
81,1114.09,0.00094,0.9619,1,0.18757,0.000148512,0.000148512,0.000148512
82,1127.34,0.00035,0.9619,1,0.18728,0.000141443,0.000141443,0.000141443
83,1140.91,0.00414,0.95238,1,0.26039,0.000134375,0.000134375,0.000134375
84,1154.61,0.0069,0.95238,1,0.17627,0.000127306,0.000127306,0.000127306
85,1170.2,0.00044,0.95238,1,0.16245,0.000120238,0.000120238,0.000120238
86,1184.91,0.00958,0.9619,1,0.21769,0.000113169,0.000113169,0.000113169
87,1198.64,0.00915,0.92381,1,0.2298,0.0001061,0.0001061,0.0001061
88,1211.72,0.01036,0.92381,1,0.23838,9.90318e-05,9.90318e-05,9.90318e-05
89,1224.96,0.00294,0.92381,1,0.22178,9.19632e-05,9.19632e-05,9.19632e-05
90,1238.32,0.00044,0.92381,1,0.27631,8.48946e-05,8.48946e-05,8.48946e-05
91,1251.52,0.00087,0.92381,1,0.27573,7.7826e-05,7.7826e-05,7.7826e-05
